NGC_BMU_ID,BMGROUP_NAME,SETT_BMU_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,X
ABRBO-1,Aberdeen Offshore W/F,T_ABRBO-1,,2,,4,5,6,7,8,9,,11,,,,,16,,
ABRTW-1,Auchrobert,E_ABRTW-1,,,,,,6,7,8,9,,11,,,,,16,,
ACHLW-1,Achlachan Wind Farm,C__PSMAR001,1,2,,4,5,6,7,8,9,,11,,,,,16,,
ACHRW-1,A'Chruach Wind Farm,T_ACHRW-1,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
ACHYW-1,Achany Wind Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
AFTOW-1,Afton Wind Farm,T_AFTOW-1,,,,,,6,7,8,9,,11,,,,,16,,
AIRSW-1,Airies Wind Farm,E_AIRSW-1,,,,,,6,7,8,9,,11,,,,,16,,
AKGLW-1,Aikengall Wind Farm,,,,,,,6,7,8,9,,11,,,,,16,,
AKGLW-2,Aikengall II Wind Farm,T_AKGLW-2,,,,,,6,7,8,9,,11,,,,,16,,
AKGLW-3,Aikengall II Wind Farm,T_AKGLW-3,,,,,,6,7,8,9,,11,,,,,16,,
ANSUW-1,An Suidhe Wind Farm,T_ANSUW-1,,,3,4,5,6,7,8,9,,11,,,,,16,,
ARCHW-1,Arecleoch Wind Farm,T_ARCHW-1,,,,,,6,7,8,9,,11,,,,,16,,
ASHWW-1,Andershaw Wind Farm,E_ASHWW-1,,,,,,6,7,8,9,,11,,,,,16,,
BABAW-1,Baillie Wind Farm,E_BABAW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BAGE-1,Baglan Bay Power Station,T_BAGE-1,,,,,,,,,,,,12,,,,,,
BAGE-2,Baglan Bay Power Station,T_BAGE-2,,,,,,,,,,,,12,,,,,,
BDCHW-1,Bad A Cheo Wind Farm,T_BDCHW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BEATO-1,Beatrice Offshore W/Farm,T_BEATO-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BEATO-2,Beatrice Offshore W/Farm,T_BEATO-2,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BEATO-3,Beatrice Offshore W/Farm,T_BEATO-3,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BEATO-4,Beatrice Offshore W/Farm,T_BEATO-4,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BEINW-1,Beinneun Wind Farm,T_BEINW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BETHW-1,Beinn Tharsuinn,E_BETHW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BGLAW-1,Bienn Ghlas Wind,,,,3,4,5,6,7,8,9,,11,,,,,16,,
BHLAW-1,Bhlaraidh Wind Farm,T_BHLAW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BLKWW-1,Blackcraig W/F,T_BLKWW-1,,,,,,6,7,8,9,,11,,,,,16,,
BLLA-1,Blacklaw,T_BLLA-1,,,,,,6,7,8,9,,11,,,,,16,,
BLLA-2,Blacklaw Extension,T_BLLA-2,,,,,,6,7,8,9,,11,,,,,16,,
BNAKW-1,Ben Aketil,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BNWKW-1,Burn of Whilk W/F,E_BNWKW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BOULW-1,Boulfruich,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BOWLW-1,Barrow Offshore Wind Farm,T_BOWLW-1,,,,,,,,8,9,,,,,,,,,
BOYNW-1,Boyndie Wind Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BRBEO-1,Burbo Extension,T_BRBEO-1,,,,,,,,8,9,,,,,,,,,
BRDUW-1,Braes of Doune,E_BRDUW-1,,,,4,5,6,7,8,9,,11,,,,,16,,
BRGG-1,Brigg,E_BRGG-1,,,,,,,,8,9,,11,,,,,16,,
BRYBW-1,Berry Burn Wind Farm,E_BRYBW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
BTUIW-1,Beinn an Turic Wind,,,,3,4,5,6,7,8,9,,11,,,,,16,,
BTUIW-2,Beinn An Tuirc 2,E_BTUIW-2,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
BTUIW-3,Beinn An Tuirc 3,E_BTUIW-3,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
BURBW-1,Burbo Bank wind Farm,E_BURBO,,,,,,,,8,9,,,,,,,,,
CAIRW-1,Cairn Uish Wind,2_PPGEN001,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CAIRW-2,Cairn Uish Wind,2__PSTAT001,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CARR-1,Carrington P/S,T_CARR-1,,,,,,,,8,9,,,,,,,,,
CARR-2,Carrington P/S,T_CARR-2,,,,,,,,8,9,,,,,,,,,
CAS-BEU01,Beauly Cascade,M_CAS-BEU01,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CAS-CLU01,Clunie Cascade,M_CAS-CLU01,,,,4,5,6,7,8,9,,11,,,,,16,,
CAS-CON01,Conon Cascade,M_CAS-CON01,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CAS-GAR01,Garry Cascade,M_CAS-GAR01,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
CAS-KIL01,Killin Cascade,M_CAS-KIL01,,,,4,5,6,7,8,9,,11,,,,,16,,
CAS-MOR01,Moriston Cascade,M_CAS-MOR01,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CAUSW-1,Causeymire,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CDCL-1,Cottam Development Centre,T_CDCL-1,,,,,,,,,9,,,,,,,16,,
CDWTW-1,Calder Water W/F,,,,,,,6,7,8,9,,11,,,,,16,,
CGTHW-1,Corriegarth Wind Farm,T_CGTHW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CLAC-1,Clachan,E_CLAC-1,,,3,4,5,6,7,8,9,,11,,,,,16,,
CLDCW-1,Clyde Central Wind Farm,T_CLDCW-1,,,,,,6,7,8,9,,11,,,,,16,,
CLDNW-1,Clyde North Wind Farm,T_CLDNW-1,,,,,,6,7,8,9,,11,,,,,16,,
CLDRW-1,Clashindarroch W/F,E_CLDRW-1,,2,,4,5,6,7,8,9,,11,,,,,16,,
CLDSW-1,Clyde South Wind Farm,T_CLDSW-1,,,,,,6,7,8,9,,11,,,,,16,,
CLFLW-1,Clachan Flats Wind Farm,E_CLFLW-1,,,3,4,5,6,7,8,9,,11,,,,,16,,
CMSTW-1,Camster Wind Farm,2_PPGEN003,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CNCLW-1,Coire Na Cloiche WF,E_CNCLW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CNQPS-1,Connah's Quay,T_CNQPS-1,,,,,,,,8,9,,,,,,,,,
CNQPS-2,Connah's Quay,T_CNQPS-2,,,,,,,,8,9,,,,,,,,,
CNQPS-3,Connah's Quay,T_CNQPS-3,,,,,,,,8,9,,,,,,,,,
CNQPS-4,Connah's Quay,T_CNQPS-4,,,,,,,,8,9,,,,,,,,,
CORB-1,Corby,E_CORB-1,,,,,,,,,,,,,,,,,,X
COSO-1,Coryton Energy Centre,T_COSO-1,,,,,,,,,,,,,,,15,,,
COUWW-1,Cour Wind Farm,T_COUWW-1,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
COWE1,Cowes,E_COWE1,,,,,,,,,,10,,12,,,,,,
